BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,,a36825386,"Babalyan, V.  O.","ANALYSIS OF HOSPITAL MORTALITY IN
PATIENTS WITH PROXIMAL FEMORAL
FRACTURES",Травма,19,6,,87--90,2018,,,https://elibrary.ru/item.asp?id=36825386,,,,,,,,,,,,,,,,,
7,,a36547381,"Badiuk, M.  I.; Mykyta, O.  O.; Semeniv, I.  P.; Rygan, M.  M.; Kosarchuk, V.  V.","THE STRUCTURE OF URGENT
CONDITIONS OF SERVICEMEN OF THE
ARMED FORCES OF UKRAINE IN MODERN
CONDITIONS",Патологiя,15,2,,142--147,2018,,,https://elibrary.ru/item.asp?id=36547381,,,,,,,,,,,,,,,,,
7,,a36816764,"Bagirov, M.  M.; Makarov, A.  V.; Vytvytskyi, I.  Z.; Faschuk, O.  M.","RESULTS OF PARENCHYMAL-SPARING
PULMONARY RESECTIONS WITH
BRONCHIAL RECONSTRUCTION FOR
DISEASES AND INJURIES OF BRONCHI",Хирургия детского возраста,,4,,31--36,2018,,,https://elibrary.ru/item.asp?id=36816764,,,,,,,,,,,,,,,,,
7,,a35656067,"Bystrytska, M.","THE ROLE OF VITAMIN D AND
PARATHYROID HORMONE IN THE
OSTEOPOROSIS IN SPINAL CORD
INJURY",Травма,19,4,,23--28,2018,,,https://elibrary.ru/item.asp?id=35656067,,,,,,,,,,,,,,,,,
7,,a35297093,"Digtyar, V.  A.; Kaminska, M.  O.; Moxov, A.  I.; Koval, S.  V.","EXPERIENCE OF SURGICAL TREATMENT
OF PECTUS EXCAVATUM IN CHILDREN",Хирургия детского возраста,,1,,81--84,2018,,,https://elibrary.ru/item.asp?id=35297093,,,,,,,,,,,,,,,,,
7,,a36866509,"Fedorovych, O.; Perederiy, A.","DYNAMICS OF DAILY LIVING
ACTIVITIES INDICATORS IN PERSONS
WITH SPINAL CORD AND VERTEBRAL
COLUMN INJURY UNDER THE INFLUENCE
OF ACTIVE REHABILITATION CAMPS","Фізичне виховання, спорт і культура здоров’я у сучасному суспільстві",,4,,46--54,2018,,,https://elibrary.ru/item.asp?id=36866509,,,,,,,,,,,,,,,,,
7,,a37166764,"Fil, A.  Yu; Levytskyy, N.  V.; Seniuk, Yu I.; Valigurskyi, M.  I.","CLAVICLE FRACTURE FIXATIONS IN
PATIENTS WITH FLAIL CHEST AND
POLYTRAUMA",Травма,20,1,,98--101,2019,,,https://elibrary.ru/item.asp?id=37166764,,,,,,,,,,,,,,,,,
7,,a37166767,"Fischenko, V.  O.; Kirichenko, V.  I.; Yaremin, S.  Yu; Branitsky, O.  Yu; Karpinskaya, O.  D.","HIP OSTEOARTHRITIS. CLINICAL AND
SOCIAL ASPECTS OF DISEASE.
ANALYTICAL REVIEW OF THE
LITERATURE. PART I",Травма,20,1,,118--125,2019,,,https://elibrary.ru/item.asp?id=37166767,,,,,,,,,,,,,,,,,
7,,a35302072,"Grygorieva, N.  V.; Povoroznyuk, V.  V.; Rybina, O.  S.","DEVELOPMENT OF SYSTEMS FOR
PHYSICAL REHABILITATION AND
EVALUATION OF THEIR EFFECTIVENESS
IN POSTMENOPAUSAL WOMEN WITH
OSTEOPOROSIS DEPENDING ON THE AGE
AND NUMBER OF VERTEBRAL FRACTURES",Боль. Суставы. Позвоночник,8,2,,93--100,2018,,,https://elibrary.ru/item.asp?id=35302072,,,,,,,,,,,,,,,,,
7,,a35017999,"Guriev, S.  A.; Tanasienko, P.  V.; Palagniuk, K.  V.","TRAUMOGENESIS OF SPINE INJURIES
IN VICTIMS WITH POLYTRAUMA AS A
RESULT OF ROAD ACCIDENTS",Вісник морфології,23,1,,94--97,2017,,,https://elibrary.ru/item.asp?id=35017999,,,,,,,,,,,,,,,,,
