"No п/п","Наименование издания","ISSN","Группы научных специальностей/научные специальности и соответствующие им отрасли науки, по которым присуждаются ученые степени Дата включения издания в Перечень"
"1.
","        Academia. Архитектура и строительство
  ","2077-9038
","        05.23.01 – Строительные конструкции, здания и сооружения (технические науки),
05.23.02 – Основания и фундаменты, подземные сооружения (технические науки),
05.23.03 – Теплоснабжение, вентиляция, кондиционирование воздуха, газоснабжение и освещение (технические науки),
05.23.05 – Строительные материалы и изделия (технические науки), 05.23.08 – Технология и организация строительства (технические науки), 05.23.17 – Строительная механика (технические науки),
05.23.20 – Теория и история архитектуры, реставрация и реконструкция историко- архитектурного наследия (архитектура),
05.23.21 – Архитектура зданий и сооружений. Творческие концепции архитектурной деятельности (архитектура)
05.23.22 – Градостроительство, планировка сельских населенных пунктов (архитектура),
07.00.10 – История науки и техники (архитектура),
17.00.04 – Изобразительное и декоративно-прикладное искусство и архитектура (искусствоведение)
  с 28.12.2018
             "
"2.
","            Acta biomedica scientifica
(До 02.10.2017 г. наименование в Перечне «Бюллетень Восточно-Сибирского научного центра СО РАМН (Bulletin of the East Siberian Scientific Center SB RAMS» ISSN 1811-0649)
     ","2541-9420
","            14.01.01 – Акушерство и гинекология (медицинские науки),
14.01.08 – Педиатрия (медицинские науки),
14.01.09 – Инфекционные болезни (медицинские науки),
14.01.11 – Нервные болезни (медицинские науки),
14.01.16 – Фтизиатрия (медицинские науки),
14.01.17 – Хирургия (медицинские науки),
14.02.02 – Эпидемиология (медицинские науки)
14.03.03 – Патологическая физиология (медицинские науки),
    с 28.12.2018
              
                 14.03.06 – Фармакология, клиническая фармакология (медицинские науки)
       "
"3.
","        Acta Linguistica Petropolitana. Труды Института лингвистических исследований РАН
  ","2306-5737
","        07.00.07 – Этнография, этнология и антропология (исторические науки), 10.01.01 – Русская литература (филологические науки),
10.01.09 – Фольклористика (филологические науки),
10.02.01 – Русский язык (филологические науки),
10.02.03 – Славянские языки (филологические науки),
10.02.04 – Германские языки (филологические науки),
10.02.14 – Классическая филология, византийская и новогреческая филология (филологические науки), 10.02.19 – Теория языка (филологические науки),
10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание (филологические науки), 10.02.22 – Языки народов зарубежных стран Европы, Азии, Африки, аборигенов Америки и Австралии (с указанием конкретного языка или языковой семьи) (филологические науки)
  с 28.12.2018
             "
"4.
","    Advances in Law Studies
     ","2409-5087
","   12.00.01 – Теория и история права и государства; история учений о праве и государстве (юридические науки), 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право (юридические науки),
12.00.14 – Административное право; административный процесс (юридические науки)
    с 28.12.2018
   "
"5.
","                Alma mater (Вестник высшей школы)
  ","1026-955Х
","                09.00.08 – Философия науки и техники (философские науки),
09.00.11 – Социальная философия (философские науки),
22.00.04 – Социальная структура, социальные институты и процессы (социологические науки),
22.00.05 – Политическая социология (социологические науки),
22.00.08 – Социология управления (социологические науки)
  с 28.12.2018
                     "
"6.
","        Ars Administrandi
     ","2218-9173
","        23.00.01 – Теория и философия политики, история и методология политической науки (политические науки),
23.00.02 – Политические институты, процессы и технологии (политические науки),
    с 28.12.2018
      
                 23.00.05 – Политическая регионалистика. Этнополитика (политические науки)
       "
"7.
","           Baikal Research Journal
   ","2411-6262
","          08.00.05 – Экономика и управление народным хозяйством (по отраслям и сферам деятельности) (экономические науки),
08.00.10 – Финансы, денежное обращение и кредит (экономические науки),
12.00.08 – Уголовное право и криминология; уголовно- исполнительное право (юридические науки),
19.00.01 – Общая психология, психология личности, история психологии (психологические науки), 19.00.05 – Социальная психология (психологические науки)
   с 28.12.2018
           "
"8.
","   Biological Communications
(До 09.08.2018 г. наименование в Перечне Вестник Санкт- Петербургского университета. Серия 3. Биология
ISSN 1025-8604)
   ","2542-2154
","   03.01.02 – Биофизика (биологические науки),
03.01.03 – Молекулярная биология (биологические науки),
03.01.04 – Биохимия (биологические науки),
03.01.05 – Физиология и биохимия растений (биологические науки), 03.01.07 – Молекулярная генетика (биологические науки),
03.01.08 – Биоинженерия (биологические науки),
03.01.09 – Математическая биология, биоинформатика (биологические науки),
03.02.01 – Ботаника (биологические науки),
03.02.04 – Зоология (биологические науки),
03.02.05 – Энтомология (биологические науки),
03.02.06 – Ихтиология (биологические науки),
03.02.07 – Генетика (биологические науки),
03.02.10 – Гидробиология (биологические науки),
03.02.13 –Почвоведение (биологические науки),
03.03.01 – Физиология (биологические науки),
03.03.04 – Клеточная биология, цитология, гистология (биологические науки),
03.03.05 – Биология развития, эмбриология (биологические науки),
   с 26.03.2019
  
     "
"9.
","             Biomedical Photonics
    ","2413-9432
","             01.04.21 – Лазерная физика (физико- математические науки),
14.01.12 – Онкология (медицинские науки),
14.01.17 – Хирургия (медицинские науки)
   с 28.12.2018
                 "
