,TP,Title,URL
4495,,"Variations in Treatment of C2 Fractures
by Time, Age, and Geographic
Region
in the United States: An Analysis
of 4818 Patients.",/pubmed/29477004
4496,,"Comparison of surgical or nonsurgical
treatment outcomes in patients
with
thoracolumbar fracture with
Score
4
of TLICS: A randomized, single-blind, and single-central clinical trial.",/pubmed/29419692
4497,,"Efficacy of Using Intermediate Screws in
Short-Segment Fixation for
Thoracolumbar Fractures: A
Meta-Analysis of Randomized
Controlled Trials.",/pubmed/29113901
4498,,"Treatment of Unstable Thoracolumbar
Fractures: Does Fracture-Level
Fixation Accelerate the Bone
Healing?",/pubmed/28803178
4499,,"Post-operative bracing after pedicle
screw fixation for thoracolumbar
burst fractures: A cost-effectiveness study.",/pubmed/28800928
4500,,"Is fusion necessary for thoracolumbar
burst fracture treated with
spinal
fixation? A systematic review
and
meta-analysis.",/pubmed/28777064
4501,,"Is fusion superior to non-fusion for the
treatment of thoracolumbar
burst
fracture? A systematic review
and
meta-analysis.",/pubmed/28641907
4502,,"Comparison of unilateral versus
bilateral pedicle screw fixation
at
the level of fracture using
posterior short-segment pedicle
instrumentation in the treatment
of
severe thoracolumbar burst
fractures.",/pubmed/28343026
4503,,"Treatment of Lumbar Split Fracture-Dislocation With Short-Segment or Long-Segment Posterior Fixation and Anterior Fusion.",/pubmed/28323717
4504,,"Comparison of pedicle fixation by the
Wiltse approach and the conventional posterior open approach for thoracolumbar fractures, using MRI, histological and electrophysiological analyses of the multifidus muscle.",/pubmed/28247080
4505,,"Polytrauma Patients With Associated
Spine Fractures: An Assessment
of
Surgical Intervention on Patient
Outcome.",/pubmed/28107241
4506,,"[Analysis of the Cochrane Review:
Pedicle Screw Fixation for
Traumatic Fractures of the
Thoracic
and Lumbar Spine. Cochrane
Database
Syst Rev. 2013;05:CD009073].",/pubmed/27649012
4507,,"[Intraoperative 3D imaging in spinal
surgery].",/pubmed/27646696
4508,,"Temporary Percutaneous Instrumentation
and Selective Anterior Fusion
for
Thoracolumbar Fractures.",/pubmed/27584674
4509,,"Treatment of unstable thoracolumbar
junction fractures: short-segment
pedicle fixation with inclusion
of
the fracture level versus
long-segment instrumentation.",/pubmed/27541493
4510,,"Pedicle screw fixation combined with
intermediate screw at the
fracture
level for treatment of thoracolumbar fractures: A meta-analysis.",/pubmed/27537586
4511,,"Bracing After Surgical Stabilization of
Thoracolumbar Fractures: A
Systematic Review of Evidence,
Indications, and Practices.",/pubmed/27262651
4512,,"[Comparison of the clinical safety and
efficacies of percutaneous
pedicle
screw fixation and open pedicle
screw fixation for thoracolumbar
fracture: a meta-analysis].",/pubmed/27149791
4513,,"Biomechanical Analysis of Pedicle Screw
Fixation for Thoracolumbar
Burst
Fractures.",/pubmed/27135451
4514,,"Conservative versus operative treatment
for thoracolumbar burst fractures
without neurologic deficit.",/pubmed/27028069
4515,,"Biomechanical investigation of a
minimally invasive posterior
spine
stabilization system in comparison
to the Universal Spinal System
(USS).",/pubmed/27005301
4516,,"Effect of the percutaneous pedicle screw
fixation at the fractured
vertebra
on the treatment of thoracolumbar
fractures.",/pubmed/26983411
4517,,"A comparison of three different surgical
procedures in the treatment
of
type
A thoracolumbar fractures:
a
randomized controlled trial.",/pubmed/26907876
4518,,"Comparison of Anterior Versus Posterior
Approach in the Treatment
of
Thoracolumbar Fractures: A
Systematic Review.",/pubmed/26414835
4519,,"Relationship between fracture-relevant
parameters of thoracolumbar
burst
fractures and the reduction
of
intra-canal fracture fragment.",/pubmed/26306404
4520,,"[Paraspinal muscle approach with
winglike working channel in
the
treatment of thoracic and
lumbar
spine fracture].",/pubmed/26269165
4521,,"Better life quality and sexual function
in men and their female partners
with short-segment posterior
fixation in the treatment
of
thoracolumbar junction burst
fractures.",/pubmed/26202101
4522,,"Percutaneous versus open pedicle screw
fixation for treatment of
thoracolumbar fractures: Systematic
review and meta-analysis of
comparative studies.",/pubmed/26051881
4523,,"Single-stage posterior vertebral column
resection and internal fixation
for
old fracture-dislocations
of
thoracolumbar spine: a case
series
and systematic review.",/pubmed/25953526
4524,,"Analysis of surgical approaches for
unstable thoracolumbar burst
fracture: minimum of five
year
follow-up.",/pubmed/25842559
4525,,"Effect of augmentation techniques on the
failure of pedicle screws
under
cranio-caudal cyclic loading.",/pubmed/25813011
4526,,"[Percutaneous stabilization of the
thoracic and lumbar spine
with
active intraoperative reduction].",/pubmed/25645322
4527,,"Operative compared with nonoperative
treatment of a thoracolumbar
burst
fracture without neurological
deficit: a prospective randomized
study with follow-up at sixteen
to
twenty-two years.",/pubmed/25568388
4528,,"Relationships between posterior
ligamentous complex injury
and
radiographic parameters in
patients
with thoracolumbar burst fractures.",/pubmed/25457338
4529,,"Expectations of recovery and functional
outcomes following thoracolumbar
trauma: an evidence-based
medicine
process to determine what
surgeons
should be telling their patients.",/pubmed/25396259
4530,,"Fusion may not be a necessary procedure
for surgically treated burst
fractures of the thoracolumbar
and
lumbar spines: a follow-up
of
at
least ten years.",/pubmed/25320199
4531,,"Minimally invasive spinal surgery for
the treatment of traumatic
thoracolumbar burst fractures.",/pubmed/25150769
4532,,"Two-year follow-up evaluation of
surgical treatment for thoracolumbar fracture-dislocation.",/pubmed/25077910
4533,,"Dynamic compared to rigid fixation in
lumbar spine: a systematic
review.",/pubmed/24919003
4534,,"KumaFix fixation for thoracolumbar burst
fractures: a prospective study
on
selective consecutive patients.",/pubmed/24890141
4535,,"[SECURITY OF FRACTURED VERTEBRAL PEDICLE
SCREW IN DIFFERENT TYPES OF
PEDICLE
FRACTURES].",/pubmed/26455226
4536,,"Single level anterior interbody fusion
and fixation in the treatment
of
thoracolumbar fractures.",/pubmed/24867898
4537,,"Sensitivity analysis for a partially
missing binary outcome in
a
two-arm
randomized clinical trial.",/pubmed/24845086
4538,,"[A comparative study on treatment of
thoracolumbar fracture with
injured
vertebra pedicle instrumentation
and cross segment pedicle
instrumentation].",/pubmed/24796199
4539,,"Clinical results of early stabilization
of spine fractures in polytrauma
patients.",/pubmed/24636930
4540,,"Treatment of thoracolumbar burst
fractures: short-segment pedicle
instrumentation versus kyphoplasty.",/pubmed/24563980
4541,,"Treatment of thoracolumbar trauma by
short-segment percutaneous
transpedicular screw instrumentation: prospective comparative study with a minimum 2-year follow-up.",/pubmed/24358996
4542,,"Additional anterior plating enhances
fusion in anteroposteriorly
stabilized thoracolumbar fractures.",/pubmed/24326026
4543,,"[Unilateral versus bilateral pedicle
fixation at the level of fracture
in the treatment of thoracolumbar
fractures with mild to moderate
instability].",/pubmed/24284240
4544,,"[Minimal invasive internal fixation with
U-shaped break-off pedicle
screws
for treatent of thoracolumbar
fractures].",/pubmed/24136267
4545,,"Percutaneous short-segment pedicle screw
placement without fusion in
the
treatment of thoracolumbar
burst
fractures: is it effective?:
comparative study with open
short-segment pedicle screw
fixation with posterolateral fusion.",/pubmed/24018981
4546,,"Anterior versus posterior approach for
treatment of thoracolumbar
burst
fractures: a meta-analysis.",/pubmed/24013718
4547,,"Internal fixation with percutaneous
kyphoplasty compared with
simple
percutaneous kyphoplasty for
thoracolumbar burst fractures
in
elderly patients: a prospective
randomized controlled trial.",/pubmed/23996046
4548,,"Flexion-distraction injuries of the
thoracolumbar spine: open
fusion
versus percutaneous pedicle
screw
fixation.",/pubmed/23905953
4549,,"Surgical versus non-surgical treatment
for thoracolumbar burst fractures
without neurological deficit.",/pubmed/23740669
4550,,"Pedicle screw fixation for traumatic
fractures of the thoracic
and
lumbar spine.",/pubmed/23728686
4551,,"Fusion versus nonfusion for surgically
treated thoracolumbar burst
fractures: a meta-analysis.",/pubmed/23704968
4552,,"Thoracolumbar spine trauma: review of
the evidence.",/pubmed/23676860
4553,,"A methodological systematic review of
early versus late stabilization
of
thoracolumbar spine fractures.",/pubmed/23263169
4554,,"Comparison of a paraspinal approach with
a percutaneous approach in
the
treatment of thoracolumbar
burst
fractures with posterior ligamentous complex injury: a prospective randomized controlled trial.",/pubmed/22971486
4555,,"A pilot evaluation of the role of
bracing in stable thoracolumbar
burst fractures without neurological deficit.",/pubmed/22907065
4556,,"Accuracy of percutaneous pedicle screws
for thoracic and lumbar spine
fractures: a prospective trial.",/pubmed/22903200
