Запрос (поступившие: за последний год),Число записей,Заметки
вывих* позвон*,11,норм
вывих* спин*,3,норм
вывих* вертебр*,3,норм
вывих* поясничн*,3,норм
вывих* грудн*,4,норм
политравм* позвон*,12,норм
политравм* спин*,6,норм
политравм* вертебр*,2,норм
политравм* поясничн*,3,норм
политравм* грудн*,5,норм
повреждени* позвон*,139,"норм(долго грузился, но загрузился)"
повреждени* спин*,89,норм
повреждени* вертебр*,14,норм
повреждени* поясничн*,35,норм
повреждени* грудн*,73,норм
перелом* позвон*,95,"норм(долго грузился, но загрузился)"
перелом* спин*,30,норм
перелом* вертебр*,7,норм
перелом* поясничн*,32,норм
перелом* грудн*,41,норм
травм* позвон*,176,"норм(долго грузился, но загрузился)"
травм* спин*,171,попытка1-Active Server Pages error 'ASP 0113'; Script timed out; /query_results.asp;The maximum amount of time for a script to execute was exceeded. You can change this limit by specifying a new value for the property Server.ScriptTimeout or by changing the value in the IIS administration tools. Попытка 2-аналогично. Попытка 3-ура!
травм* вертебр*,14,норм
травм* поясничн*,50,норм
травм* грудн*,106,норм
поясничнокрестцов* перелом*,"Не найдено публикаций, соответствующих запросу",
поясничнокрестцов* вывих*,"Не найдено публикаций, соответствующих запросу",
поясничнокрестцов* повреждени*,"Не найдено публикаций, соответствующих запросу",
поясничнокрестцов* травм*,"Не найдено публикаций, соответствующих запросу",
поясничнокрестцов* политравм*,"Не найдено публикаций, соответствующих запросу",
грудопоясничн* перелом*,5,норм
грудопоясничн* вывих*,"Не найдено публикаций, соответствующих запросу",
грудопоясничн* повреждени*,5,норм
грудопоясничн* травм*,7,норм
грудопоясничн* политравм*,2,норм
поясничногрудн* перелом*,"Не найдено публикаций, соответствующих запросу",
поясничногрудн* вывих*,"Не найдено публикаций, соответствующих запросу",
поясничногрудн* повреждени*,"Не найдено публикаций, соответствующих запросу",
поясничногрудн* травм*,"Не найдено публикаций, соответствующих запросу",
поясничногрудн* политравм*,"Не найдено публикаций, соответствующих запросу",
шейногрудн* перелом*,"Не найдено публикаций, соответствующих запросу",
шейногрудн* вывих*,"Не найдено публикаций, соответствующих запросу",
шейногрудн* повреждени*,"Не найдено публикаций, соответствующих запросу",
шейногрудн* травм*,"Не найдено публикаций, соответствующих запросу",
шейногрудн* политравм*,"Не найдено публикаций, соответствующих запросу",
грудошейн* перелом*,"Не найдено публикаций, соответствующих запросу",
грудошейн* вывих*,"Не найдено публикаций, соответствующих запросу",
грудошейн* повреждени*,"Не найдено публикаций, соответствующих запросу",
грудошейн* травм*,"Не найдено публикаций, соответствующих запросу",
грудошейн* политравм*,"Не найдено публикаций, соответствующих запросу",
,,
Всего:,1143,
