key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
27149791,[Comparison of the clinical safety and efficacies of percutaneous pedicle screw fixation and open pedicle screw fixation for thoracolumbar fracture: a meta-analysis].,2016,1,1,Zhongguo gu shang = China journal of orthopaedics and traumatology,1003-0034,29,3,220-7,"Liu, Lei and Liu, Guang-wang and Ma, Chao",https://www.ncbi.nlm.nih.gov/pubmed/27149791,chi,,,"Objective: 
To evaluate the efficacy and safety of percutaneous pedicle screw fixation (PPSF) and open pedicle screw fixation (OPSF) in the treatment of single level of thoracolumbar fracture.
Methods: 
Databases including Pubmed, Embasem, CNKI were searched to collect clinical trials of the clinical safety and efficiency of PPSF and OPSF for single level of thoracolumbar unstable fracture, relevant proceedings and references were also retrieved manually. Studies from 1990 to 2014 that met the inclusion and exclusion standards were researched. The data were extracted and the methods from the studies were also evaluated. Data analysis was conducted with the Review Manager 5.3 software. Observation targets included operation time, intraoperative bleeding, postoperative bleeding, hospitalization time, the bed time, postoperative vertebral Cobb angle, vertebral body height, pain score and the length of incision operation.
Results: 
Fifteen papers were finally studied, including 2 randomized controlled trials (RCT) and 13 case-control studies, involving 789 patients. Compared with OPSF, the PPSF in treating thoracolumbar fracture had shorter operation time, smaller operation incision, less intraoperative and postoperation bleeding, shorter hospitalization days, fewer pain (P<0.00001), the less improvement in the change of Cobb angle (P=0.0006). There was no significant difference in the improvement of vertebral body height (P=0.36), the bed time from operation to exercise (P=0.38) between OPSF and PPSF.
Conclusion: 
Compared with OPSF, PPSF is better, safer, and has fewer pain. But there is no evidence that the PPSF is better in the recovery of the spinal height, and they have the same effect in the long-term follow-up for thoracolumbar fractures. PPSF brines minimally invasive to patients with better effect. It is worth further study and clinical research."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
25568388,Operative compared with nonoperative treatment of a thoracolumbar burst fracture without neurological deficit: a prospective randomized study with follow-up at sixteen to twenty-two years.,2015,1,7,The Journal of bone and joint surgery. American volume,1535-1386,97,1,03. Sep,"Wood, Kirkham B and Buttermann, Glenn R and Phukan, Rishabh and Harrod, Christopher C and Mehbod, Amir and Shannon, Brian and Bono, Christopher M and Harris, Mitchel B",https://www.ncbi.nlm.nih.gov/pubmed/25568388,eng,,,"Background: 
Studies comparing operative with nonoperative treatment of a stable burst fracture of the thoracolumbar junction in neurologically intact patients have not shown a meaningful difference at early follow-up. To our knowledge, longer-term outcome data have not before been presented.
Methods: 
From 1992 to 1998, forty-seven consecutive patients with a stable thoracolumbar burst fracture and no neurological deficit were evaluated and randomized to one of two treatment groups: operative treatment (posterior or anterior arthrodesis) or nonoperative treatment (a body cast or orthosis). We previously reported the results of follow-up at an average of forty-four months. The current study presents the results of long-term follow-up, at an average of eighteen years (range, sixteen to twenty-two years). As in the earlier study, patients at long-term follow-up indicated the degree of pain on a visual analog scale and completed the Roland and Morris disability questionnaire, the Oswestry Disability Index (ODI) questionnaire, and the Short Form-36 (SF-36) health survey. Work and health status were obtained, and patients were evaluated radiographically.
Results: 
Of the original operatively treated group of twenty-four patients, follow-up data were obtained for nineteen; one patient had died, and four could not be located. Of the original nonoperatively treated group of twenty-three patients, data were obtained for eighteen; two patients had died, and three could not be located. The average kyphosis was not significantly different between the two groups (13° for those who received operative treatment compared with 19° for those treated nonoperatively). Median scores for pain (4 cm for the operative group and 1.5 cm for the nonoperative group; p = 0.003), ODI scores (20 for the operative group and 2 for the nonoperative group; p <0.001) and Roland and Morris scores (7 for the operative group and 1 for the nonoperative group; p = 0.001) were all significantly better in the group treated nonoperatively. Seven of eight SF-36 scores also favored nonoperative treatment.
Conclusions: 
While early analysis (four years) revealed few significant differences between the two groups, at long-term follow-up (sixteen to twenty-two years), those with a stable burst fracture who were treated nonoperatively reported less pain and better function compared with those who were treated surgically."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
25320199,Fusion may not be a necessary procedure for surgically treated burst fractures of the thoracolumbar and lumbar spines: a follow-up of at least ten years.,2014,1,15,The Journal of bone and joint surgery. American volume,1535-1386,96,20,1724-31,"Chou, Po-Hsin and Ma, Hsiao-Li and Wang, Shih-Tien and Liu, Chien-Lin and Chang, Ming-Chau and Yu, Wing-Kwong",https://www.ncbi.nlm.nih.gov/pubmed/25320199,eng,,,"Background: 
The surgical results of treating thoracolumbar and lumbar burst fractures were reported to be comparable between patients with and without fusion in an intermediate-term follow-up. To our knowledge, no prior report has compared the results of fusion and non-fusion with long-term follow-up.
Methods: 
This study was designed to provide long-term evaluation of patients with a burst fracture of the thoracolumbar and lumbar spine treated with short-segment fixation who were randomly assigned to a fusion or non-fusion group. Patients older than sixty years of age at the time of injury and those who were lost to follow-up were excluded. Functional outcomes were evaluated using the Greenough Low-Back Outcome Score and the visual analog scale for back pain. Radiographic outcomes were focused on the vertebral body height of the injured vertebra, the kyphotic angle, and the regional segmental motion.
Results: 
Twenty-two patients were enrolled in the non-fusion group, and twenty-four patients were enrolled in the fusion group. The average follow-up period was 134 months (range, 121 to 161 months). The average preoperative kyphotic angle was 16.4° for the non-fusion group and 19.5° for the fusion group. The average postoperative kyphotic angle was 1.5° for the non-fusion group and 4.0° for the fusion group. At the time of the latest follow-up, the average kyphotic angle was 13.8° for the non-fusion group and 14.7° for the fusion group. The average kyphotic angle between the two groups was similar at all follow-up times. A progressive decrease of the kyphotic angle was significant (p < 0.05) with time, regardless of fusion. The radiographic outcomes were similar between these two groups at all follow-up times, as were functional outcomes. More patients in the non-fusion group underwent additional surgery to remove implants. Regional segmental motion was preserved in the non-fusion group, with a mean motion (and standard deviation) of 4.2° ± 1.9°.
Conclusions: 
The long-term results of short segmental fixation with and without fusion for burst fractures of the thoracolumbar and lumbar spine were comparable. Regional segmental motion could be preserved without fusion, and bone graft donor site complications could be eliminated.
Level of evidence: 
Therapeutic Level II. See Instructions for Authors for a complete description of levels of evidence."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
18563333,Treatment of thoracolumbar vertebrate fracture by transpedicular morselized bone grafting in vertebrae for spinal fusion and pedicle screw fixation.,2008,1,1,Journal of Huazhong University of Science and Technology. Medical sciences = Hua zhong ke ji da xue xue bao. Yi xue Ying De wen ban = Huazhong keji daxue xuebao. Yixue Yingdewen ban,1672-0733,28,3,322-6,"Wang, Jinguo and Wu, Hua and Ding, Xiaolin and Liu, Yutian",https://www.ncbi.nlm.nih.gov/pubmed/18563333,eng,,,"To enhance the fusion of graft bone in thoracolumbar vertebrae and minimize the postoperative loss of correction, short-segment pedicle screw fixation was reinforced with posterior morselized bone grafting in vertebrae for spinal fusion in patients with thoracolumbar vertebrate fractures. Seventy patients with thoracolumbar vertebrate fractures were treated by short-segment pedicle screw fixation and were randomly divided into two groups. Fractures in group A (n=20) were reinforced with posterior morselized bone grafting in vertebrae for spinal fusion, while patients group B (n=50) did not receive the morselized bone grafting for bone fusion. The two groups were compared in terms of kyphotic deformity, anterior vertebral height, instrument failure and neurological functions after the treatment. Frankel grading system was used for the evaluation of neurological evaluation and Denis scoring scale was employed for pain assessment. The results showed that the kyphosis correction was achieved in both group A and group B (group A: 6.4 degree; group B: 5.4 degree)/ At the end of follow-up, kyphosis correction was maintained in group A but lost in group B (P=0.0001). Postoperatively, greater anterior height was achieved in group A than in group B (P<0.01). During follow-up study, anterior vertebral height was maintained only in Group A (P<0.001). Both group A and group B showed good Denis pain scores (P1 and P2) but group A outdid group B in terms of control of severe and constant pain (P4 and P5). By Frankel criteria, the changes in neurological functions in group A was better than those of group B (P<0.001). It is concluded that reinforcement of short-segment pedicle fixation with morselized bone grafting for the treatment of patients with thoracolumbar vertebrae fracture could achieve and maintain kyphosis correction, and it may also increase and maintain anterior vertebral height. Morselized bone grafting in vertebrae offers immediate spinal stability in patients with thoracolumbar vertebrate fractures, decreases the instrument failure and provides better postoperative pain control than without the morselized bone grafting."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
26202101,Better life quality and sexual function in men and their female partners with short-segment posterior fixation in the treatment of thoracolumbar junction burst fractures.,2016,1,1,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",1432-0932,25,4,1128-34,"Cankaya, Deniz and Balci, Melih and Deveci, Alper and Yoldas, Burak and Tuncel, Altug and Tabak, Yalcin",https://www.ncbi.nlm.nih.gov/pubmed/26202101,eng,,,"Purpose: 
Thoracolumbar junction burst fractures remain a challenging problem due to controversy over the treatment choice of short- or long-segment posterior fixation. The aim of the present study was to compare life quality and sexual function of patients after short- and long-segment posterior fixations in the treatment of thoracolumbar junction burst fractures.
Methods: 
In this prospective, randomized study, 24 sexually active male patients diagnosed with thoracolumbar junction burst fractures were randomly assigned to either the short-segment posterior fixation (SSPF) group or the long-segment posterior fixation group (LLPF). The exclusion criteria were rheumatological disease and spinal surgery history. There were no significant differences in age, body mass index or smoking habits between the groups. The life quality score of EQ-5D and the International Index of erectile function (IIEF-5) score of male patients and the Female Sexual Function Index (FSFI) score of female partners were recorded preoperatively and 1 year after surgery.
Results: 
The mean age of patients in the SSPF and LSPF groups was 44.58 and 42.92 years, respectively. There were no statistically significant differences between the groups in the preoperative EQ-5D and IIEF-5 scores of male patients and the FSFI score of their partners. Postoperatively, the EQ-5D scores (p = 0.011) and IIEF-5 scores (p = 0.000) of male patients and the FSFI score of their partners (p = 0.001) were better in the short-segment group.
Conclusions: 
Patients treated with SSPF have better sexual function and life quality with their partners compared to those treated with LSPF. The main clinical relevance of this study is that the impact of the choice of short or long-segment treatment on postoperative sexual function and life quality should be considered by surgeons when performing posterior fixation after thoracolumbar junction burst fractures."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
22907065,A pilot evaluation of the role of bracing in stable thoracolumbar burst fractures without neurological deficit.,2014,1,1,Journal of spinal disorders & techniques,1539-2465,27,7,370-5,"Shamji, Mohammed F and Roffey, Darren M and Young, Darryl K and Reindl, Rudy and Wai, Eugene K",https://www.ncbi.nlm.nih.gov/pubmed/22907065,eng,,,"Study design: 
Prospective, 2-center, observer-blinded, randomized controlled trial.
Objective: 
Investigate clinical and radiologic outcomes of bracing versus no-bracing in the treatment of stable thoracolumbar burst fractures.
Summary of background data: 
Management of thoracolumbar burst fractures depends upon clinical presentation of neurological deficit and radiographic features of fracture severity. Neurologically intact patients with mild deformity and biomechanical stability may be treated with conservative therapy.
Methods: 
Patients with stable (AO type A3), single level, thoracolumbar burst fractures between T12 and L2 with no neurological deficit were randomized to nonoperative treatment with a customized thoracolumbosacral orthosis (TLSO) or no-brace. Self-reported clinical outcomes of pain, disability, and health-related quality of life, and radiographic outcomes of kyphotic progression and loss of vertebral height, assessed by 2 independent reviewers blinded to treatment group, were measured at 6 months follow-up.
Results: 
Twenty-three consecutive eligible patients were included (TLSO: n=12; no-brace: n=11). There were no between-group differences regarding level of injury (P=0.75) and baseline spine geometry including fractional canal compromise (P=0.49), anterior loss of vertebral body height (P=0.28), and sagittal Cobb angle (P=0.13). In-hospital stay was significantly shorter in the no-brace group (mean: 2.8±3.0 d) compared with the TLSO group (mean: 6.3±2.1 d; P=0.004). At follow-up there were no differences in anterior loss of vertebral body height (TLSO: 12.5%±10.2% vs. no-brace: 11.9%±8.1%; P=0.88), kyphotic progression (TLSO: 5.3±4.4 degrees vs. no-brace 5.2±3.6 degrees; P=0.93), adverse events, or self-reported clinical outcomes.
Conclusions: 
Neurologically intact patients with stable thoracolumbar burst fractures treated with or without bracing had similar radiographic and clinical outcomes at 6 months follow-up. The no-brace group had shorter in-hospital lengths of stay. Conservative therapy involving early mobilization without brace immobilization may be warranted. Further studies with a larger series of patients and longer follow-up are required for conclusive findings."," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true, ""lumena27""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8 - не хирургия [Records Excluded Step 8 No Surgery in the Spine]"
22903200,Accuracy of percutaneous pedicle screws for thoracic and lumbar spine fractures: a prospective trial.,2013,1,1,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",1432-0932,22,3,495-502,"Heintel, Timo Michael and Berglehner, Andreas and Meffert, Rainer",https://www.ncbi.nlm.nih.gov/pubmed/22903200,eng,,,"Purpose: 
The percutaneous insertion technique requires surgical skill and experience. However, there have been few clinical reports evaluating the accuracy of minimally invasive pedicle screw placement using the conventional fluoroscopy method. The purpose of this study was to evaluate the accuracy of percutaneous pedicle screw placement in the treatment of thoracic and lumbar spine fractures using two-plane conventional fluoroscopy.
Methods: 
A prospective clinical trial was performed. A total of 502 percutaneous pedicle screws in 111 patients, all inserted with the assistance of conventional fluoroscopy, were evaluated. The safety and accuracy of pedicle screw placement were based on the evaluation of postoperative axial 3-mm slice computed tomography scans using the scoring system described by Zdichavsky et al. [Eur J Trauma 30:234-240, 2004; Eur J Trauma 30:241-247, 2004].
Results: 
427/502 pedicle screws (85 %) were classified as good and excellent concerning the best possible screw length and 494/502 (98 %) were found to have good or excellent position. One screw had to be revised due to medial position with a neurological deficit.
Conclusions: 
This study demonstrates the feasibility of placing percutaneous posterior thoracolumbar pedicle screws with the assistance of conventional fluoroscopy. Minimally invasive transpedicular instrumentation is an accurate, reliable and safe method to treat a variety of spinal disorders, including thoracic and lumbar spine fractures."," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true, ""lumena27""=>true} | RAYYAN-EXCLUSION-REASONS: шаг 8a - не та хирургия [Records Excluded Step 8a Surgery Not Directly Relevant]"
22844053,The role of fusion in the management of burst fractures of the thoracolumbar spine treated by short segment pedicle screw fixation: a prospective randomised trial.,2012,1,1,The Journal of bone and joint surgery. British volume,0301-620X,94,8,1101-6,"Jindal, N and Sankhala, S S and Bachhal, V",https://www.ncbi.nlm.nih.gov/pubmed/22844053,eng,,,"The purpose of this study was to determine whether patients with a burst fracture of the thoracolumbar spine treated by short segment pedicle screw fixation fared better clinically and radiologically if the affected segment was fused at the same time. A total of 50 patients were enrolled in a prospective study and assigned to one of two groups. After the exclusion of three patients, there were 23 patients in the fusion group and 24 in the non-fusion group. Follow-up was at a mean of 23.9 months (18 to 30). Functional outcome was evaluated using the Greenough Low Back Outcome Score. Neurological function was graded using the American Spinal Injury Association Impairment Scale. Radiological outcome was assessed on the basis of the angle of kyphosis. Peri-operative blood transfusion requirements and duration of surgery were significantly higher in the fusion group (p = 0.029 and p < 0.001, respectively). There were no clinical or radiological differences in outcome between the groups (all outcomes p > 0.05). The results of this study suggest that adjunctive fusion is unnecessary when managing patients with a burst fracture of the thoracolumbar spine with short segment pedicle screw fixation."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
22057820,Nonoperative versus operative treatment for thoracolumbar burst fractures without neurologic deficit: a meta-analysis.,2012,1,1,Clinical orthopaedics and related research,1528-1132,470,2,567-77,"Gnanenthiran, Sonali R and Adie, Sam and Harris, Ian A",https://www.ncbi.nlm.nih.gov/pubmed/22057820,eng,,,"Background: 
Decision-making regarding nonoperative versus operative treatment of patients with thoracolumbar burst fractures in the absence of neurologic deficits is controversial. Lack of evidence-based practice may result in patients being treated inappropriately and being exposed to unnecessary adverse consequences.
Purpose: 
Using meta-analysis, we therefore compared pain (VAS) and function (Roland Morris Disability Questionnaire) in patients with thoracolumbar burst fractures without neurologic deficit treated nonoperatively and operatively. Secondary outcomes included return to work, radiographic progression of kyphosis, radiographic progression of spinal canal stenosis, complications, cost, and length of hospitalization.
Methods: 
We searched MEDLINE, EMBASE(®), and the Cochrane Central Register of Controlled Trials for 'thoracic fractures', 'lumbar fractures', 'non-operative', 'operative' and 'controlled clinical trials'. We established five criteria for inclusion. Data extraction and quality assessment were in accordance with Cochrane Collaboration guidelines. The main analyses were performed on individual patient data from randomized controlled trials. Sensitivity analyses were performed on VAS pain, Roland Morris Disability Questionnaire score, kyphosis, and return to work, including data from nonrandomized controlled trials and using fixed effects meta-analysis. We identified four trials, including two randomized controlled trials consisting of 79 patients (41 with operative treatment and 38 with nonoperative treatment). The mean followups ranged from 24 to 118 months.
Results: 
We found no between-group differences in baseline pain, kyphosis, and Roland Morris Disability Questionnaire scores. At last followup, there were no between-group differences in pain, Roland Morris Disability Questionnaire scores, and return to work rates. We found an improvement in kyphosis ranging from means of 12.8º to 11º in the operative group, but surgery was associated with higher complication rates and costs.
Conclusions: 
Operative management of thoracolumbar burst fractures without neurologic deficit may improve residual kyphosis, but does not appear to improve pain or function at an average of 4 years after injury and is associated with higher complication rates and costs.
Level of evidence: 
Level II, therapeutic study. See the Guidelines for Authors for a complete description of level of evidence."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
20704105,Pedicle screw placement in the thoracic spine: a comparison study of computer-assisted navigation and conventional techniques.,2010,1,11,Orthopedics,,33,8,,"Han, Wu and Gao, Zhong-li and Wang, Jin-cheng and Li, Ying-pu and Peng, Xia and Rui, Jiang and Jun, Wei",https://www.ncbi.nlm.nih.gov/pubmed/20704105,eng,,,"The technique of computer-assisted pedicle screw installation and its clinical benefit as compared with conventional pedicle screw installation was evaluated. Twenty-two patients had thoracic screw insertion under 3-dimentional computer-assisted navigation (92 screws) and 20 patients under conventional fluoroscopic control (84 screws). The 2 groups were compared for accuracy of screw placement, screw insertion time by postoperative thin-cut computed tomography scans, and statistical analysis. The cortical perforations were graded by 2-mm increments. In the computer group, 88 (95.65%) were grade I (good), 4 (4.35%) were grade II (<2 mm), and 0 were grade III (>2 mm) violations. There were 4 cortical violations (3.57%). In the conventional group, there were 14 cortical violations (16.67%), 70 (83.33%) were grade I (good), 11 (13.1%) were grade II (<2 mm), and 3 (3.57%) were grade III (>2 mm) violations (P<.001). The number (19.57%) of upper thoracic pedicle screws (T1-T4) inserted under 3-dimensional computer-assisted navigation was significantly higher than that (3.57%) by conventional fluoroscopic control (P<.001). Average screw insertion time in the conventional group was more than in the computer group (P<.001). Three-dimensional computer-assisted navigation pedicle screw placement can increase accuracy, reduce surgical time, and be performed safely and effectively at all levels of the thoracic spine, particularly the upper thoracic spine."," RAYYAN-INCLUSION: {""Pavel""=>false, ""dursunov.eldar97""=>true, ""lumena27""=>true} | RAYYAN-LABELS: РИ? | RAYYAN-EXCLUSION-REASONS: шаг 8a - не та хирургия [Records Excluded Step 8a Surgery Not Directly Relevant]"
