key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
27149791,[Comparison of the clinical safety and efficacies of percutaneous pedicle screw fixation and open pedicle screw fixation for thoracolumbar fracture: a meta-analysis].,2016,1,1,Zhongguo gu shang = China journal of orthopaedics and traumatology,1003-0034,29,3,220-7,"Liu, Lei and Liu, Guang-wang and Ma, Chao",https://www.ncbi.nlm.nih.gov/pubmed/27149791,chi,,,"Objective: 
To evaluate the efficacy and safety of percutaneous pedicle screw fixation (PPSF) and open pedicle screw fixation (OPSF) in the treatment of single level of thoracolumbar fracture.
Methods: 
Databases including Pubmed, Embasem, CNKI were searched to collect clinical trials of the clinical safety and efficiency of PPSF and OPSF for single level of thoracolumbar unstable fracture, relevant proceedings and references were also retrieved manually. Studies from 1990 to 2014 that met the inclusion and exclusion standards were researched. The data were extracted and the methods from the studies were also evaluated. Data analysis was conducted with the Review Manager 5.3 software. Observation targets included operation time, intraoperative bleeding, postoperative bleeding, hospitalization time, the bed time, postoperative vertebral Cobb angle, vertebral body height, pain score and the length of incision operation.
Results: 
Fifteen papers were finally studied, including 2 randomized controlled trials (RCT) and 13 case-control studies, involving 789 patients. Compared with OPSF, the PPSF in treating thoracolumbar fracture had shorter operation time, smaller operation incision, less intraoperative and postoperation bleeding, shorter hospitalization days, fewer pain (P<0.00001), the less improvement in the change of Cobb angle (P=0.0006). There was no significant difference in the improvement of vertebral body height (P=0.36), the bed time from operation to exercise (P=0.38) between OPSF and PPSF.
Conclusion: 
Compared with OPSF, PPSF is better, safer, and has fewer pain. But there is no evidence that the PPSF is better in the recovery of the spinal height, and they have the same effect in the long-term follow-up for thoracolumbar fractures. PPSF brines minimally invasive to patients with better effect. It is worth further study and clinical research."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
25568388,Operative compared with nonoperative treatment of a thoracolumbar burst fracture without neurological deficit: a prospective randomized study with follow-up at sixteen to twenty-two years.,2015,1,7,The Journal of bone and joint surgery. American volume,1535-1386,97,1,3-9,"Wood, Kirkham B and Buttermann, Glenn R and Phukan, Rishabh and Harrod, Christopher C and Mehbod, Amir and Shannon, Brian and Bono, Christopher M and Harris, Mitchel B",https://www.ncbi.nlm.nih.gov/pubmed/25568388,eng,,,"Background: 
Studies comparing operative with nonoperative treatment of a stable burst fracture of the thoracolumbar junction in neurologically intact patients have not shown a meaningful difference at early follow-up. To our knowledge, longer-term outcome data have not before been presented.
Methods: 
From 1992 to 1998, forty-seven consecutive patients with a stable thoracolumbar burst fracture and no neurological deficit were evaluated and randomized to one of two treatment groups: operative treatment (posterior or anterior arthrodesis) or nonoperative treatment (a body cast or orthosis). We previously reported the results of follow-up at an average of forty-four months. The current study presents the results of long-term follow-up, at an average of eighteen years (range, sixteen to twenty-two years). As in the earlier study, patients at long-term follow-up indicated the degree of pain on a visual analog scale and completed the Roland and Morris disability questionnaire, the Oswestry Disability Index (ODI) questionnaire, and the Short Form-36 (SF-36) health survey. Work and health status were obtained, and patients were evaluated radiographically.
Results: 
Of the original operatively treated group of twenty-four patients, follow-up data were obtained for nineteen; one patient had died, and four could not be located. Of the original nonoperatively treated group of twenty-three patients, data were obtained for eighteen; two patients had died, and three could not be located. The average kyphosis was not significantly different between the two groups (13° for those who received operative treatment compared with 19° for those treated nonoperatively). Median scores for pain (4 cm for the operative group and 1.5 cm for the nonoperative group; p = 0.003), ODI scores (20 for the operative group and 2 for the nonoperative group; p <0.001) and Roland and Morris scores (7 for the operative group and 1 for the nonoperative group; p = 0.001) were all significantly better in the group treated nonoperatively. Seven of eight SF-36 scores also favored nonoperative treatment.
Conclusions: 
While early analysis (four years) revealed few significant differences between the two groups, at long-term follow-up (sixteen to twenty-two years), those with a stable burst fracture who were treated nonoperatively reported less pain and better function compared with those who were treated surgically."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
25320199,Fusion may not be a necessary procedure for surgically treated burst fractures of the thoracolumbar and lumbar spines: a follow-up of at least ten years.,2014,1,15,The Journal of bone and joint surgery. American volume,1535-1386,96,20,1724-31,"Chou, Po-Hsin and Ma, Hsiao-Li and Wang, Shih-Tien and Liu, Chien-Lin and Chang, Ming-Chau and Yu, Wing-Kwong",https://www.ncbi.nlm.nih.gov/pubmed/25320199,eng,,,"Background: 
The surgical results of treating thoracolumbar and lumbar burst fractures were reported to be comparable between patients with and without fusion in an intermediate-term follow-up. To our knowledge, no prior report has compared the results of fusion and non-fusion with long-term follow-up.
Methods: 
This study was designed to provide long-term evaluation of patients with a burst fracture of the thoracolumbar and lumbar spine treated with short-segment fixation who were randomly assigned to a fusion or non-fusion group. Patients older than sixty years of age at the time of injury and those who were lost to follow-up were excluded. Functional outcomes were evaluated using the Greenough Low-Back Outcome Score and the visual analog scale for back pain. Radiographic outcomes were focused on the vertebral body height of the injured vertebra, the kyphotic angle, and the regional segmental motion.
Results: 
Twenty-two patients were enrolled in the non-fusion group, and twenty-four patients were enrolled in the fusion group. The average follow-up period was 134 months (range, 121 to 161 months). The average preoperative kyphotic angle was 16.4° for the non-fusion group and 19.5° for the fusion group. The average postoperative kyphotic angle was 1.5° for the non-fusion group and 4.0° for the fusion group. At the time of the latest follow-up, the average kyphotic angle was 13.8° for the non-fusion group and 14.7° for the fusion group. The average kyphotic angle between the two groups was similar at all follow-up times. A progressive decrease of the kyphotic angle was significant (p < 0.05) with time, regardless of fusion. The radiographic outcomes were similar between these two groups at all follow-up times, as were functional outcomes. More patients in the non-fusion group underwent additional surgery to remove implants. Regional segmental motion was preserved in the non-fusion group, with a mean motion (and standard deviation) of 4.2° ± 1.9°.
Conclusions: 
The long-term results of short segmental fixation with and without fusion for burst fractures of the thoracolumbar and lumbar spine were comparable. Regional segmental motion could be preserved without fusion, and bone graft donor site complications could be eliminated.
Level of evidence: 
Therapeutic Level II. See Instructions for Authors for a complete description of levels of evidence."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
18563333,Treatment of thoracolumbar vertebrate fracture by transpedicular morselized bone grafting in vertebrae for spinal fusion and pedicle screw fixation.,2008,1,1,Journal of Huazhong University of Science and Technology. Medical sciences = Hua zhong ke ji da xue xue bao. Yi xue Ying De wen ban = Huazhong keji daxue xuebao. Yixue Yingdewen ban,1672-0733,28,3,322-6,"Wang, Jinguo and Wu, Hua and Ding, Xiaolin and Liu, Yutian",https://www.ncbi.nlm.nih.gov/pubmed/18563333,eng,,,"To enhance the fusion of graft bone in thoracolumbar vertebrae and minimize the postoperative loss of correction, short-segment pedicle screw fixation was reinforced with posterior morselized bone grafting in vertebrae for spinal fusion in patients with thoracolumbar vertebrate fractures. Seventy patients with thoracolumbar vertebrate fractures were treated by short-segment pedicle screw fixation and were randomly divided into two groups. Fractures in group A (n=20) were reinforced with posterior morselized bone grafting in vertebrae for spinal fusion, while patients group B (n=50) did not receive the morselized bone grafting for bone fusion. The two groups were compared in terms of kyphotic deformity, anterior vertebral height, instrument failure and neurological functions after the treatment. Frankel grading system was used for the evaluation of neurological evaluation and Denis scoring scale was employed for pain assessment. The results showed that the kyphosis correction was achieved in both group A and group B (group A: 6.4 degree; group B: 5.4 degree)/ At the end of follow-up, kyphosis correction was maintained in group A but lost in group B (P=0.0001). Postoperatively, greater anterior height was achieved in group A than in group B (P<0.01). During follow-up study, anterior vertebral height was maintained only in Group A (P<0.001). Both group A and group B showed good Denis pain scores (P1 and P2) but group A outdid group B in terms of control of severe and constant pain (P4 and P5). By Frankel criteria, the changes in neurological functions in group A was better than those of group B (P<0.001). It is concluded that reinforcement of short-segment pedicle fixation with morselized bone grafting for the treatment of patients with thoracolumbar vertebrae fracture could achieve and maintain kyphosis correction, and it may also increase and maintain anterior vertebral height. Morselized bone grafting in vertebrae offers immediate spinal stability in patients with thoracolumbar vertebrate fractures, decreases the instrument failure and provides better postoperative pain control than without the morselized bone grafting."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
26202101,Better life quality and sexual function in men and their female partners with short-segment posterior fixation in the treatment of thoracolumbar junction burst fractures.,2016,1,1,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",1432-0932,25,4,1128-34,"Cankaya, Deniz and Balci, Melih and Deveci, Alper and Yoldas, Burak and Tuncel, Altug and Tabak, Yalcin",https://www.ncbi.nlm.nih.gov/pubmed/26202101,eng,,,"Purpose: 
Thoracolumbar junction burst fractures remain a challenging problem due to controversy over the treatment choice of short- or long-segment posterior fixation. The aim of the present study was to compare life quality and sexual function of patients after short- and long-segment posterior fixations in the treatment of thoracolumbar junction burst fractures.
Methods: 
In this prospective, randomized study, 24 sexually active male patients diagnosed with thoracolumbar junction burst fractures were randomly assigned to either the short-segment posterior fixation (SSPF) group or the long-segment posterior fixation group (LLPF). The exclusion criteria were rheumatological disease and spinal surgery history. There were no significant differences in age, body mass index or smoking habits between the groups. The life quality score of EQ-5D and the International Index of erectile function (IIEF-5) score of male patients and the Female Sexual Function Index (FSFI) score of female partners were recorded preoperatively and 1 year after surgery.
Results: 
The mean age of patients in the SSPF and LSPF groups was 44.58 and 42.92 years, respectively. There were no statistically significant differences between the groups in the preoperative EQ-5D and IIEF-5 scores of male patients and the FSFI score of their partners. Postoperatively, the EQ-5D scores (p = 0.011) and IIEF-5 scores (p = 0.000) of male patients and the FSFI score of their partners (p = 0.001) were better in the short-segment group.
Conclusions: 
Patients treated with SSPF have better sexual function and life quality with their partners compared to those treated with LSPF. The main clinical relevance of this study is that the impact of the choice of short or long-segment treatment on postoperative sexual function and life quality should be considered by surgeons when performing posterior fixation after thoracolumbar junction burst fractures."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
22844053,The role of fusion in the management of burst fractures of the thoracolumbar spine treated by short segment pedicle screw fixation: a prospective randomised trial.,2012,1,1,The Journal of bone and joint surgery. British volume,0301-620X,94,8,1101-6,"Jindal, N and Sankhala, S S and Bachhal, V",https://www.ncbi.nlm.nih.gov/pubmed/22844053,eng,,,"The purpose of this study was to determine whether patients with a burst fracture of the thoracolumbar spine treated by short segment pedicle screw fixation fared better clinically and radiologically if the affected segment was fused at the same time. A total of 50 patients were enrolled in a prospective study and assigned to one of two groups. After the exclusion of three patients, there were 23 patients in the fusion group and 24 in the non-fusion group. Follow-up was at a mean of 23.9 months (18 to 30). Functional outcome was evaluated using the Greenough Low Back Outcome Score. Neurological function was graded using the American Spinal Injury Association Impairment Scale. Radiological outcome was assessed on the basis of the angle of kyphosis. Peri-operative blood transfusion requirements and duration of surgery were significantly higher in the fusion group (p = 0.029 and p < 0.001, respectively). There were no clinical or radiological differences in outcome between the groups (all outcomes p > 0.05). The results of this study suggest that adjunctive fusion is unnecessary when managing patients with a burst fracture of the thoracolumbar spine with short segment pedicle screw fixation."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
22057820,Nonoperative versus operative treatment for thoracolumbar burst fractures without neurologic deficit: a meta-analysis.,2012,1,1,Clinical orthopaedics and related research,1528-1132,470,2,567-77,"Gnanenthiran, Sonali R and Adie, Sam and Harris, Ian A",https://www.ncbi.nlm.nih.gov/pubmed/22057820,eng,,,"Background: 
Decision-making regarding nonoperative versus operative treatment of patients with thoracolumbar burst fractures in the absence of neurologic deficits is controversial. Lack of evidence-based practice may result in patients being treated inappropriately and being exposed to unnecessary adverse consequences.
Purpose: 
Using meta-analysis, we therefore compared pain (VAS) and function (Roland Morris Disability Questionnaire) in patients with thoracolumbar burst fractures without neurologic deficit treated nonoperatively and operatively. Secondary outcomes included return to work, radiographic progression of kyphosis, radiographic progression of spinal canal stenosis, complications, cost, and length of hospitalization.
Methods: 
We searched MEDLINE, EMBASE(®), and the Cochrane Central Register of Controlled Trials for 'thoracic fractures', 'lumbar fractures', 'non-operative', 'operative' and 'controlled clinical trials'. We established five criteria for inclusion. Data extraction and quality assessment were in accordance with Cochrane Collaboration guidelines. The main analyses were performed on individual patient data from randomized controlled trials. Sensitivity analyses were performed on VAS pain, Roland Morris Disability Questionnaire score, kyphosis, and return to work, including data from nonrandomized controlled trials and using fixed effects meta-analysis. We identified four trials, including two randomized controlled trials consisting of 79 patients (41 with operative treatment and 38 with nonoperative treatment). The mean followups ranged from 24 to 118 months.
Results: 
We found no between-group differences in baseline pain, kyphosis, and Roland Morris Disability Questionnaire scores. At last followup, there were no between-group differences in pain, Roland Morris Disability Questionnaire scores, and return to work rates. We found an improvement in kyphosis ranging from means of 12.8º to 11º in the operative group, but surgery was associated with higher complication rates and costs.
Conclusions: 
Operative management of thoracolumbar burst fractures without neurologic deficit may improve residual kyphosis, but does not appear to improve pain or function at an average of 4 years after injury and is associated with higher complication rates and costs.
Level of evidence: 
Level II, therapeutic study. See the Guidelines for Authors for a complete description of level of evidence."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
20495932,Inclusion of the fracture level in short segment fixation of thoracolumbar fractures.,2010,1,1,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",1432-0932,19,10,1651-6,"Farrokhi, Majid-Reza and Razmkon, Ali and Maghami, Zohreh and Nikoo, Zahra",https://www.ncbi.nlm.nih.gov/pubmed/20495932,eng,,,"Short segment posterior fixation is the preferred method for stabilizing thoracolumbar fractures. In case of significant disruption of the anterior column, the simple short segment construct does not ensure adequate stability. In this study, we tried to evaluate the effect of inclusion of the fractured vertebra in short segment fixation of thoracolumbar fractures. In a prospective randomized study, eighty patients with thoracolumbar fractures treated just with posterior pedicular fixation were randomized into two groups receiving either the one level above and one level below excluding the fracture level (bridging group), or including the fracture level (including group). Different clinical and radiological parameters were recorded and followed. A sum of 80 patients (42 patients in group 1 and 38 patients in group 2) were enrolled in the study. The patients in both the groups showed similar clinical outcome. There was a high rate of instrumentation failure in the ""bridging"" group. The ""bridging"" group showed a mean worsening (29%) in kyphosis, whereas the ""including"" group improved significantly by a mean of 6%. The significant effect of the ""including"" technique on the reduction of kyphotic deformity was most prominent in type C fractures. In conclusion, inclusion of the fracture level into the construct offers a better kyphosis correction, in addition to fewer instrument failures, without additional complications, and with a comparable-if not better-clinical and functional outcome. We recommend insertion of screws into pedicles of the fractured thoracolumbar vertebra when considering a short segment posterior fixation, especially in Magerl type C fractures."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
19652568,The use of screw at the fracture level in the treatment of thoracolumbar burst fractures.,2009,1,1,Journal of spinal disorders & techniques,1539-2465,22,6,417-21,"Guven, Osman and Kocaoglu, Baris and Bezer, Murat and Aydin, Nuri and Nalbantoglu, Ufuk",https://www.ncbi.nlm.nih.gov/pubmed/19652568,eng,,,"Study design: 
In this prospective randomized study, the results of treating unstable thoracolumbar burst fractures by pedicle instrumentation with and without fracture level screw combination were given.
Objective: 
Our aim was to evaluate the efficacy of fracture level screw combination in achieving and maintaining correction in the treatment of unstable thoracolumbar burst fractures.
Summary of background data: 
Most authors reported that intraoperative correction of sagittal deformity is important for the maintenance of fracture reduction and is one of the most consistent predictor of satisfactory functional outcome.
Methods: 
Seventy-two patients with unstable thoracolumbar burst fractures were randomized into 4 groups with equal number of patients. In group 1, patients were treated by segmental posterior instrumentation with 2 levels above and 2 levels below the fracture level fixation, in group 2 they were treated as in group 1 with fracture level screw incorporation. In group 3, patients were treated by short-segment posterior instrumentation with 1 level above and 1 level below, in group 4 they were treated by short-segment posterior instrumentation with fracture level screw incorporation. Clinical and radiologic parameters were evaluated before surgery, after surgery, and at follow-up.
Results: 
The average follow-up was 50 months. Fracture level screw combination provided better intraoperative correction and maintenance in the treatment of unstable thoracolumbar burst fractures, which was more prevalent in short-segment fixation group.
Conclusions: 
Reinforcement with fracture level screw combination can help to provide better kyphosis correction and offers immediate spinal stability in patients with thoracolumbar burst fracture."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
19411450,Posterior short-segment fixation with or without fusion for thoracolumbar burst fractures. a five to seven-year prospective randomized study.,2009,1,1,The Journal of bone and joint surgery. American volume,1535-1386,91,5,1033-41,"Dai, Li-Yang and Jiang, Lei-Sheng and Jiang, Sheng-Dan",https://www.ncbi.nlm.nih.gov/pubmed/19411450,eng,,,"Background: 
The impact of fusion as a supplement to short-segment instrumentation for the treatment of thoracolumbar burst fractures is unclear. We conducted a controlled clinical trial to define the effect of fusion on lumbar spine and patient-related functional outcomes.
Methods: 
From 2000 to 2002, seventy-three consecutive patients with a single-level Denis type-B burst fracture involving the thoracolumbar spine and a load-sharing score of <or=6 were managed with posterior pedicle screw instrumentation. The patients were randomly assigned to treatment with posterolateral fusion (fusion group, n = 37) or without posterolateral fusion (nonfusion group, n = 36). The patients were followed for at least five years after surgery and were assessed with regard to clinical and radiographic outcomes. Clinical outcomes were evaluated with use of the Frankel scale, the motor score of the American Spinal Injury Association, a visual analog scale, and the Short Form-36 (SF-36) questionnaire. Radiographic outcomes were assessed on the basis of the local kyphosis angle and loss of kyphosis correction.
Results: 
No significant difference in radiographic or clinical outcomes was noted between the patients managed with the two techniques. Both operative time and blood loss were significantly less in the nonfusion group compared with the fusion group (p < 0.05). Twenty-five of the thirty-seven patients in the fusion group still had some degree of donor-site pain at the time of the latest examination.
Conclusions: 
Posterolateral bone-grafting is not necessary when a Denis type-B thoracolumbar burst fracture associated with a load-sharing score of <or=6 is treated with short-segment pedicle screw fixation."," RAYYAN-INCLUSION: {""Pavel""=>true, ""dursunov.eldar97""=>true, ""lumena27""=>true}"
