,ts_c1,type_c24,type_c24 - label_c18,ws_c25,ws_c25 - label_c9,key1_c26,key1_c26 - label_c19,val1_c27,ref1_c46,ref1_c46 - val1_c27,key2_c28,key2_c28 - label_c19,val2_c29,ref2_c47,ref2_c47 - val2_c29,key3_c30,key3_c30 - label_c19,val3_c31,ref3_c49,ref3_c49 - val3_c31,key4_c32,key4_c32 - label_c19,val4_c33,ref4_c50,ref4_c50 - val4_c33,key5_c34,key5_c34 - label_c19,val5_c35,ref5_c52,ref5_c52 - val5_c35,key6_c36,key6_c36 - label_c19,val6_c37,ref6_c53,ref6_c53 - val6_c37,key7_c38,key7_c38 - label_c19,val7_c39,ref7_c54,ref7_c54 - val7_c39,key8_c40,key8_c40 - label_c19,val8_c41,ref8_c55,ref8_c55 - val8_c41,key9_c42,key9_c42 - label_c19,val9_c43,ref9_c56,ref9_c56 - val9_c43,key10_c57,key10_c57 - label_c19,val10_c58,ref10_c59,ref10_c59 - val10_c58,key11_c60,key11_c60 - label_c19,val11_c61,ref11_c62,ref11_c62 - val11_c61
58,2018-05-28 16:45,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,49,[RCTs] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults,56,Не исключено при скрининге,57,,,22,Всего возвратил записей,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2018-05-29 11:42,26,"Поисковый запрос в PubMed, новый",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,4,Текст запроса,(spinal fractures[mh]) AND surgery[sh] systematic[sb] ,,,22,Всего возвратил записей,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2018-05-29 12:01,29,"Поисковый запрос в eLIBRARY.RU, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,49,[RCTs] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults,56,Не исключено при скрининге,44,,,22,Всего возвратил записей,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2018-06-01 23:55,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,49,[RCTs] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults,56,Не исключено при скрининге,42,,,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 4) [Records Excluded Step 1 Cadaver or Biomech or In Vitro or In Silico or Healthy] RCTs - High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults
шаг 2 - дети (N = 0) [Records Excluded Step 2 Pediatric] RCTs - High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults
шаг 3 - не спина (N = 4) [Records Excluded Step 3 Adult Not Spine] RCTs - High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults
шаг 4 - не травма (N = 5) [Records Excluded Step 4 Spine Other Than Trauma] RCTs - High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults
шаг 5 - шея (N = 3) [Records Excluded Step 5 C-Spine Trauma] RCTs - High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults
шаг 6 - осложненная травма (N = 4) [Records Excluded Step 6 TL Trauma SCI Present] RCTs - High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults
шаг 7 - ВП (N = 57) [Records Excluded Step 7 VA or RFA] RCTs - High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults
шаг 8 - не хирургия (N = 8) [Records Excluded Step 8 No Surgery in the Spine] RCTs - High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,2018-06-04 20:04,26,"Поисковый запрос в PubMed, новый",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,[HSSS RCT] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults,,,4,Текст запроса,(spinal fractures[mh]) AND surgery[sh] (((randomized controlled trial [pt]) OR (controlled clinical trial [pt]) OR randomized[tiab] OR placebo[tiab] OR (drug therapy [sh]) OR randomly[tiab] OR trial[tiab] OR groups[tiab]) NOT (animals[mh] NOT humans[mh])) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2018-06-06 08:25,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,4,Текст запроса,,59,(spinal fractures[mh]) AND surgery[sh] systematic[sb] ,22,Всего возвратил записей,213,,,56,Не исключено при скрининге,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2018-06-06 13:47,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,22,Всего возвратил записей,1006,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2018-06-07 07:53,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,22,Всего возвратил записей,1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2018-06-07 15:21,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,73,[Systematic SB or HSSS RCTs] Spinal Fractures or SCI MH with Sx SH,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = ) [Records Excluded Step 1 Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = ) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = ) [Records Excluded Step 3 Adult Not Spine]
шаг 4 - не травма (N = 1) [Records Excluded Step 4 Spine Other Than Trauma]
шаг 5 - шея (N = 1) [Records Excluded Step 5 C-Spine Trauma]
шаг 5b - таз (N = ) [Records Excluded Step 5b Pelvic Trauma]
шаг 6 - осложненная травма (N = ) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = ) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = ) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = ) [Records Excluded Step 8 No Surgery in the Spine]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2018-06-08 01:36,28,"Поисковый запрос в PubMed, обновление старого",90,Ранняя малоинвазивная фиксация из заднего доступа против других лечебных тактик при неосложненных переломах грудных и поясничных позвонков у живых взрослых,1,Название,,68,[HSSS RCT v. 2] High QoE Studies in Early Posterior MIS Fixation for Non-SCI TL Spine Trauma of Living Adults - 2018/07/21 upd.,30,Исключено при скрининге,"шаг 1 - фаза 0-1 (N = 2) [Records Excluded Step 1 Cadaver or Biomech or In Vitro or In Silico or Healthy]
шаг 2 - дети (N = ) [Records Excluded Step 2 Pediatric]
шаг 3 - не спина (N = ) [Records Excluded Step 3 Adult Not Spine]
шаг 4 - не травма (N = 2) [Records Excluded Step 4 Spine Other Than Trauma]
шаг 5 - шея (N = ) [Records Excluded Step 5 C-Spine Trauma]
шаг 5b - таз (N = 1) [Records Excluded Step 5b Pelvic Trauma]
шаг 6 - осложненная травма (N = 2) [Records Excluded Step 6 TL Trauma SCI Present]
шаг 6b - последствия травм (N = ) [Records Excluded Step 6b Late TL Trauma]
шаг 7 - ВП (N = ) [Records Excluded Step 7 VA or RFA]
шаг 8 - не хирургия (N = 1) [Records Excluded Step 8 No Surgery in the Spine]",,,56,Не исключено при скрининге,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
