,TP,Title,URL
9247,X,"ИНТРАОПЕРАЦИОННЫЙ МОНИТОРИНГ ПРИ
ОПЕРАЦИОННОМ ЛЕЧЕНИИ СКОЛИОЗА У
ДЕТЕЙ",https://elibrary.ru/item.asp?id=36323783
9248,X,"ХИРУРГИЧЕСКОЕ ЛЕЧЕНИЕ ПАЦИЕНТКИ
СО МНОЖЕСТВЕННЫМИ ПЕРЕЛОМАМИ
ПОЗВОНКОВ ГРУДНОГО И ПОЯСНИЧНОГО
ОТДЕЛОВ НА ФОНЕ СИНДРОМА HAJDU -
CHENEY",https://elibrary.ru/item.asp?id=37308821
9249,X,"ОСТЕОПАТИЧЕСКИЙ СТАТУС ПАЦИЕНТОВ
С НАРУШЕНИЯМИ ОСАНКИ В РАЗНЫХ
ВОЗРАСТНЫХ ГРУППАХ",https://elibrary.ru/item.asp?id=35166301
9250,X,"УРОВЕНЬ АУТОАНТИТЕЛ К БЕЛКУ S-100
- ВОЗМОЖНЫЙ ПРЕДИКТОР ИСХОДОВ
ОСТРОГО НАРУШЕНИЯ МОЗГОВОГО
КРОВООБРАЩЕНИЯ",https://elibrary.ru/item.asp?id=36681153
9251,X,"ОСТРОЕ ПОЧЕЧНОЕ ПОВРЕЖДЕНИЕ ПРИ
МНОЖЕСТВЕННОЙ МИЕЛОМЕ (КЛИНИЧЕСКОЕ
НАБЛЮДЕНИЕ)",https://elibrary.ru/item.asp?id=37081993
9252,X,"ХИРУРГИЧЕСКОЕ ЛЕЧЕНИЕ ПОСЛЕДСТВИЙ
ВЕРТЕБРАЛЬНЫХ ПОРАЖЕНИЙ ПРИ
СЕПСИСЕ НОВОРОЖДЕННЫХ (АНАЛИЗ
СЕРИИ КЛИНИЧЕСКИХ НАБЛЮДЕНИЙ)",https://elibrary.ru/item.asp?id=36690648
9253,X,"СОМАТИЧЕСКИЕ ДИСФУНКЦИИ РЕГИОНА
ШЕИ У ДЕТЕЙ ПЕРВОГО ПОЛУГОДИЯ
ЖИЗНИ: КЛИНИЧЕСКИЕ ПРОЯВЛЕНИЯ И
РЕЗУЛЬТАТЫ ОСТЕОПАТИЧЕСКОЙ
КОРРЕКЦИИ",https://elibrary.ru/item.asp?id=36685534
9254,X,"ВАСКУЛЯРИЗАЦИЯ ПОВРЕЖДЕННОГО
НЕРВА КРЫСЫ ПОСЛЕ ПРИМЕНЕНИЯ
ЭКСПЕРИМЕНТАЛЬНОЙ КЛЕТОЧНОЙ
ТЕРАПИИ",https://elibrary.ru/item.asp?id=35019509
9255,X,"СЕМЕЙНЫЙ СЛУЧАЙ БОЛЕЗНИ
МАЧАДО-ДЖОЗЕФА",https://elibrary.ru/item.asp?id=35317575
9256,X,"ЭФФЕКТИВНОСТЬ САНАТОРНОЙ
РЕАБИЛИТАЦИИ БОЛЬНЫХ С
ПОВРЕЖДЕНИЯМИ ПОЗВОНОЧНИКА В
УСЛОВИЯХ СРЕДНЕГОРЬЯ С ПОЗИЦИЙ
МЕЖДУНАРОДНОЙ КЛАССИФИКАЦИИ
ФУНКЦИОНИРОВАНИЯ, ОГРАНИЧЕНИЙ
ЖИЗНЕДЕЯТЕЛЬНОСТИ И ЗДОРОВЬЯ",https://elibrary.ru/item.asp?id=35085880
9257,X,"ЛЮМБОСАКРАЛЬНАЯ ПЛЕКСОПАТИЯ:
ОПИСАНИЕ КЛИНИЧЕСКОГО НАБЛЮДЕНИЯ",https://elibrary.ru/item.asp?id=36487150
9258,X,"СЛУЧАЙ ПРОНИКАЮЩЕГО В БРЮШНУЮ
ПОЛОСТЬ РАНЕНИЯ МОШОНКИ",https://elibrary.ru/item.asp?id=36894334
9259,X,"ПРОБЛЕМЫ ДОГОСПИТАЛЬНОГО ВЕДЕНИЯ
ПОСТРАДАВШИХ С ПОВРЕЖДЕНИЯМИ
ШЕЙНОГО ОТДЕЛА ПОЗВОНОЧНИКА",https://elibrary.ru/item.asp?id=35256568
9260,X,"СТАБИЛИЗИРУЮЩЕ-ДЕКОМПРЕССИОННОЕ
ОПЕРАТИВНОЕ ЛЕЧЕНИЕ ПРИ
ОСЛОЖНЕННОЙ ТРАВМЕ ГРУДНОГО И
ПОЯСНИЧНОГО ОТДЕЛОВ ПОЗВОНОЧНИКА",https://elibrary.ru/item.asp?id=36365729
9261,X,"ФАКТОРЫ, ОПРЕДЕЛЯЮЩИЕ
ПСИХОЛОГИЧЕСКОЕ БЛАГОПОЛУЧИЕ
ПАЦИЕНТОВ С ПОСЛЕДСТВИЯМИ
СПИННОМОЗГОВОЙ ТРАВМЫ",https://elibrary.ru/item.asp?id=37188634
9262,X,"ДЕГЕНЕРАТИВНОЕ ПОРАЖЕНИЕ
ПОЗВОНОЧНИКА, АССОЦИИРОВАННОЕ С
БОЛЬЮ В СПИНЕ: МОРФОГЕНЕТИЧЕСКИЕ
АСПЕКТЫ",https://elibrary.ru/item.asp?id=35040142
9263,X,"АЛГОРИТМ ОБУЧЕНИЯ ХОДЬБЕ В
РОБОТИЗИРОВАННОМ КОМПЛЕКСЕ
EXOATLET” СПИНАЛЬНЫХ ПАЦИЕНТОВ”",https://elibrary.ru/item.asp?id=36642991
9264,X,"Unilateral versus bilateral
percutaneous vertebroplasty for
osteoporotic vertebral compression
fractures in elderly patients: A
meta-analysis.",/pubmed/30813133
9265,X,"СИНХРОНИЗИРОВАННОЕ ПРИМЕНЕНИЕ
ЭКЗОСКЕЛЕТА С ФУНКЦИОНАЛЬНОЙ
ЭЛЕКТРОСТИМУЛЯЦИЕЙ У ПАЦИЕНТОВ С
ПОСЛЕДСТВИЯМИ ТРАВМЫ СПИННОГО
МОЗГ",https://elibrary.ru/item.asp?id=35245992
9266,X,"[Surgical options for delayed
osteoporotic vertebral collapse].",/pubmed/29232777
9267,X,"ЛЕЧЕНИЕ ГРЫЖ МЕЖПОЗВОНОЧНЫХ
ДИСКОВ ПОЯСНИЧНОГО ОТДЕЛА
ПОЗВОНОЧНИКА У ПОДРОСТКОВ И ЛИЦ
ЮНОШЕСКОГО ВОЗРАСТА",https://elibrary.ru/item.asp?id=37355290
9268,X,"Coronal Imaging Changes
Associated with Recollapse of
Injured Vertebrae After
Percutaneous Vertebroplasty or
Percutaneous Kyphoplasty Treatment
for Osteoporotic Thoracolumbar
Fracture.",/pubmed/30170144
9269,X,"ЭРГОТЕРАПИЯ И ТРАВМА СПИННОГО
МОЗГА",https://elibrary.ru/item.asp?id=36587299
9270,X,"СКЕЛЕТНЫЕ ЗВЕНЬЯ ТЕЛА СТУДЕНТОВ
МЛАДШИХ КУРСОВ ВУЗА",https://elibrary.ru/item.asp?id=37219092
