,p_fx_levels,eligibility,eligibility - label,reviewer_note,available_reports,Title,URL,Description,ShortDetails,Author,Journal,Year,abstract,retraction_notes,protocol_and_reg,p_setting,p_sampling,p_sex,p_age,p_doi,p_hpi,p_pmhx_pshx,p_medications,p_osteoporosis,p_obs_gyn,p_sx_risk,p_extra_injuries,p_fx_count,p_fx_morphology,p_neurology,p_spine_pshx,p_spine_disease,i_main,i_comparison,i_assignment,o_main_analyses,Details,Resource,Type,Identifiers,Db,EntrezUID,Properties,BibliographyType,ISBN,Identifier,Volume,Number,Month,Pages,Address,Note,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,primary_screen_ts,p_sample_losses,p_allergies,p_social_hx,p_family_hx,p_other,i_rationale,i_who_where,i_care_coverage,i_alloc_conceal,i_assign_mask,i_deliv_deviations,i_crossover,i_sx_count,i_extra_sx,i_nonsx_therapy,i_time_to_sx,i_preop_wu,i_anesthesia,i_surgeon_xp,i_incision_line,i_incision_size,i_sx_retractors,i_endoscopy,i_videoscopy,i_microscopy,i_microsurgery,i_sx_navigation,i_c-arm,i_spine_toolset,i_decompression,i_reduction,i_screw_count,i_screw_config,i_post_fixat_dev,i_ven_fixat_dev,i_fus_implants,i_fus_technique,i_augmentation,i_other_implants,i_drain_policy,i_suturing,i_postop_mgmt,i_dc_plan,i_other,o_assessment,o_assess_mask,o_fu_schedule,o_fu_losses,o_nonreporting,o_sub_analyses,o_add_analyses,o_handl_mul_anal,o_covar_adjust,o_survival_anal,o_mul_measure,o_or_time,o_blood_loss,o_transfus_need,o_neurology,o_other_ae,o_hrqol,o_pain_intensity,o_pt_satisfaction,o_other_proms,o_other_croms,o_ssi,o_pacu_time,o_inpatient_stay,o_neuropath_pain,o_sepsis,o_intraop_ae,o_repeat_sx,o_readmission,o_death,o_pneumonia,o_vte,o_implant_failure,o_implant_remov,o_verterbal_kyph,o_seg_kyph,o_local_kyph,o_vertebral_ht,o_poor_union,o_kyph_corr,o_corr_loss,o_canal_stenosis,o_alignment,o_other_imaging,o_return_to_work,o_other,handl_miss_data,other_adjust,regression_anal,other_econ_anal,study_conclusions,practice_recomm,research_recomm,what_is_next,discussion,correspondence,coi_concern,miscond_concern,preib_cnfndng,preib_selection,preib_rndmztn,atib_msclssfctn,poib_deviations,poib_missing,poib_msrmnt,poib_selection
9364,,,,,,"Utilization of the directional
balloon technique to improve the
effectiveness of percutaneous
kyphoplasty in the treatment of
osteoporotic vertebral compression
fractures and reduction of bone
cement leakage.",/pubmed/31083158,"Wang P, Li J, Song Z, Peng Z, Wang G.",Medicine (Baltimore).  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine (Baltimore). 2019 May;98(19):e15272. doi: 10.1097/MD.0000000000015272.,PubMed,citation,PMID:31083158,pubmed,31083158,create date:2019/05/15 | first author:Wang P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9609,,,,,,"Influence of vertebral bone
mineral density on total
dispersion volume of bone cement
in vertebroplasty.",/pubmed/30896660,"Liu J, Liu Z, Luo J, Gong L, Cui Y, Song Q, Xiao PF, Zhou Y.",Medicine (Baltimore).  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine (Baltimore). 2019 Mar;98(12):e14941. doi: 10.1097/MD.0000000000014941.,PubMed,citation,PMID:30896660,pubmed,30896660,create date:2019/03/22 | first author:Liu J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9406,,,,,,"Percutaneous vertebroplasty vs
balloon kyphoplasty in the
treatment of newly onset
osteoporotic vertebral compression
fractures: A retrospective cohort
study.",/pubmed/30855494,"Cheng J, Muheremu A, Zeng X, Liu L, Liu Y, Chen Y.",Medicine (Baltimore).  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine (Baltimore). 2019 Mar;98(10):e14793. doi: 10.1097/MD.0000000000014793.,PubMed,citation,PMID:30855494 | PMCID:PMC6417511,pubmed,30855494,create date:2019/03/12 | first author:Cheng J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646,,,,,,"Clinical effect of balloon
kyphoplasty in elderly patients
with multiple osteoporotic
vertebral fracture.",/pubmed/30837413,"Liu Q, Cao J, Kong JJ.",Niger J Clin Pract.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger J Clin Pract. 2019 Mar;22(3):289-292. doi: 10.4103/njcp.njcp_8_18.,PubMed,citation,PMID:30837413,pubmed,30837413,create date:2019/03/07 | first author:Liu Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264,,,,,,"Unilateral versus bilateral
percutaneous vertebroplasty for
osteoporotic vertebral compression
fractures in elderly patients: A
meta-analysis.",/pubmed/30813133,"Chen YC, Zhang L, Li EN, Ding LX, Zhang GA, Hou Y, Yuan W.",Medicine (Baltimore).  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine (Baltimore). 2019 Feb;98(8):e14317. doi: 10.1097/MD.0000000000014317.,PubMed,citation,PMID:30813133 | PMCID:PMC6408113,pubmed,30813133,create date:2019/03/01 | first author:Chen YC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9578,,,,,,"Bracing after percutaneous
vertebroplasty for thoracolumbar
osteoporotic vertebral compression
fractures was not effective.",/pubmed/30787602,"Zhang J, Fan Y, He X, Du J, Hao D.",Clin Interv Aging.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clin Interv Aging. 2019 Feb 5;14:265-270. doi: 10.2147/CIA.S192821. eCollection 2019.,PubMed,citation,PMID:30787602 | PMCID:PMC6368123,pubmed,30787602,create date:2019/02/23 | first author:Zhang J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9843,,,,,,"A Comparative Study on Functional
Recovery, Complications, and
Changes in Inflammatory Factors in
Patients with Thoracolumbar Spinal
Fracture Complicated with Nerve
Injury Treated by Anterior and
Posterior Decompression.",/pubmed/30753178,"Jiang Y, Wang F, Yu X, Li Z, Liang L, Ma W, Zhang G, Dong R.",Med Sci Monit.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Med Sci Monit. 2019 Feb 12;25:1164-1168. doi: 10.12659/MSM.912332.,PubMed,citation,PMID:30753178 | PMCID:PMC6380160,pubmed,30753178,create date:2019/02/13 | first author:Jiang Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9632,,,,,,"PKP/PVP combine chemotherapy in
the treatment of multiple myeloma
patients with vertebral
pathological fractures: minimum
3-year follow-up of 108 cases.",/pubmed/30744644,"Yao X, Xu Z, Du X.",J Orthop Surg Res.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,J Orthop Surg Res. 2019 Feb 11;14(1):42. doi: 10.1186/s13018-019-1078-0.,PubMed,citation,PMID:30744644 | PMCID:PMC6371465,pubmed,30744644,create date:2019/02/13 | first author:Yao X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9536,,,,,,"Transpedicular lag screw
placement in traumatic cervical
spondylolisthesis: Case report and
systematic review of the
literature.",/pubmed/30737091,"Bakhsheshian J, Sizdahkhani S, Ohiorhenuan I, Buchanan IA, Strickland B, Pham MH.",J Clin Neurosci.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,J Clin Neurosci. 2019 May;63:256-262. doi: 10.1016/j.jocn.2019.01.036. Epub 2019 Feb 5.,PubMed,citation,PMID:30737091,pubmed,30737091,create date:2019/02/10 | first author:Bakhsheshian J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9344,,,,,,"Unilateral Versus Bilateral
Balloon Kyphoplasty for
Osteoporotic Vertebral Compression
Fractures: A Systematic Review of
Overlapping Meta-analyses.",/pubmed/30700065,"Zhiyong C, Yun T, Hui F, Zhongwei Y, Zhaorui L.",Pain Physician.  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pain Physician. 2019 Jan;22(1):15-28.,PubMed,citation,PMID:30700065,pubmed,30700065,create date:2019/02/01 | first author:Zhiyong C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
